Tweet,Date,Time,Favourite Count
@jameslin123321 @Erdayastronaut Helping to pay for this is why I’m accumulating assets on Earth.,17-01-2020,02:23:01,6542
"@jameslin123321 @Erdayastronaut Loading the Mars fleet into Earth orbit, then 1000 ships depart over ~30 days every… https://t.co/EwfrhgEeVH",17-01-2020,02:14:30,9629
"@mstrwilliam00 @Erdayastronaut Aiming for 20 to 30 years, like aircraft",17-01-2020,02:09:23,1476
@Kristennetten @PicklePunchD @Erdayastronaut Yes. There will be a lot of jobs on Mars!,17-01-2020,02:08:58,3230
"@PicklePunchD @Erdayastronaut Needs to be such that anyone can go if they want, with loans available for those who don’t have money",17-01-2020,02:07:41,2530
@EcoHeliGuy @Erdayastronaut Yeah. A lot of work is needed for propellant production on Mars.,17-01-2020,02:05:51,1153
@PRANSHUAGARWA13 @Erdayastronaut Yes,17-01-2020,02:03:56,1401
@Erdayastronaut That’s the goal,17-01-2020,02:03:03,4970
@Erdayastronaut Building 100 Starships/year gets to 1000 in 10 years or 100 megatons/year or maybe around 100k peop… https://t.co/raLqi3jkSb,17-01-2020,02:01:37,5502
"@Erdayastronaut Starship design goal is 3 flights/day avg rate, so ~1000 flights/year at &gt;100 tons/flight, so every… https://t.co/9QkA6RQ9my",17-01-2020,01:56:37,7834
Megatons per year to orbit are needed for life to become multiplanetary,17-01-2020,01:46:26,66668
@fighteer1 @LCS_Big_Mike @SciGuySpace That’s about right,17-01-2020,01:43:05,810
@g33st111 Reaction to Cyberpunk 2077 slipping release date to September,17-01-2020,00:40:52,6651
@SPEXcast @SciGuySpace What’s amazing is how non-linear the effect of gravity is. Starship can travel by itself fro… https://t.co/lfBw59JXE8,16-01-2020,22:51:19,1939
"@SPEXcast @SciGuySpace Densification isn’t needed to return the ship &amp; limited cargo from Mars, but it’s an option… https://t.co/4ES9CWw2lh",16-01-2020,22:47:02,1269
"@SciGuySpace Fundamental issue with SLS is that it’s not reusable, which means that a billion dollar rocket is blow… https://t.co/jmGa0HHxif",16-01-2020,22:44:07,3377
"@SciGuySpace Densifying hydrogen is difficult, as its liquid temp is close to absolute zero. Much easier with CH4,… https://t.co/O7H9diVQxY",16-01-2020,22:41:18,1571
"@Teslarati Sorry, migh have brought the site down",16-01-2020,20:12:34,7891
RT @Teslarati: The Boring Company releases new images of Las Vegas project as tunnel nears 50% mark https://t.co/3ukxT2C0EE,16-01-2020,20:07:42,0
"RT @NASA: Targeted for Sat., Jan. 18: the final major test before @NASA_Astronauts fly on the @SpaceX #CrewDragon. This @Commercial_Crew in…",16-01-2020,17:16:43,0
"Starship orbital vehicle SN1, liquid oxygen header tank &amp; nosecone https://t.co/IaSEdIyZgP",16-01-2020,09:35:55,74928
RT @Commercial_Crew: .@SpaceX's uncrewed in-flight abort test is targeted for 8am ET on Jan. 18. This test will show that the #CrewDragon c…,15-01-2020,20:19:53,0
@nntaleb Just saw this today. Tesla refunds in general should be easy to get electronically &amp; certainly through cus… https://t.co/crdxxEHQoT,15-01-2020,17:09:01,13467
"RT @universal_sci: What it will look like when the sun becomes a red giant 

Credit: ESA/Hubble (M. Kornmesser &amp; L. L. Christensen) https:/…",15-01-2020,09:49:24,0
@ErlendMoberget @ramez @KHayhoe Very true. What’s really mindblowing is how much energy the sun outputs &amp; how littl… https://t.co/JAz0Y9YxRI,14-01-2020,20:20:57,4932
@Alejandro_DebH @macshlibber @SpaceflightNow Advancing humanity’s understanding of the Universe is a fundamental mo… https://t.co/cFBpnydvAo,14-01-2020,20:14:59,2071
@Neuro_Skeptic One person’s MRI machine is another’s railgun! Made a primitive one when I was studying physics at P… https://t.co/cjTWzBS8Ls,14-01-2020,20:08:58,2394
@Alejandro_DebH @macshlibber @SpaceflightNow Exactly. We’ve had good discussions with leading astronomers. One way… https://t.co/4YaKqJOoPT,14-01-2020,20:04:32,1522
Great song https://t.co/Zojlie0GG7,14-01-2020,18:23:23,11254
