date,01-02-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"RT @engineers_feed: Imagine seeing this next to you in traffic🙀
📱https://t.co/O5vPbjG2E4 https://t.co/b07mpRdIF8",0,15:23:11
@Jf323Jf @naturenick We’re working on it,5430,06:33:42


date,27-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@HarryStoltz1 @Erdayastronaut @SpaceX First two domes of SN1 are almost complete,1784,23:52:36
@Erdayastronaut Yes,2142,23:51:01
Starship 9m test tank made 7.5 bar at room temp! Small leak at a weld doubler. Will be repaired &amp; retested at cryo. https://t.co/Bz3lrwkYRU,30036,23:30:09
"RT @SpaceX: Standing down today due to strong upper level winds. Next launch opportunity is tomorrow at 9:28 a.m. EST, or 14:28 UTC.",0,14:32:10
"RT @SpaceX: Weather is 50% favorable for tomorrow’s launch of 60 Starlink satellites at 9:49 a.m. EST, 14:49 UTC. Webcast will go live ~15…",0,08:03:54


date,28-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

Chairs are underappreciated,304059,19:34:43
The stars in Starship’s mirrored hull reflected,55183,05:30:00
@DavidDobrik !,128125,05:16:12
"RT @NASA: Who says Dragons aren’t real? 🔥🐲

Capture the excitement of a rocket launch and apply to tour @NASAKennedy and witness the next @…",0,00:39:05
@John_Gardi @Erdayastronaut Already being done,2260,00:15:15
"@Erdayastronaut Parent material strength roughly doubles, so weld strength is the only real question mark",2574,00:01:40


date,29-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"@jeff_foust @SciGuySpace Ok, not so bad",967,19:52:57
@SciGuySpace Who is hating on ISRU &amp; why? Doesn’t make sense.,1695,19:52:20
A friend just sent me this excerpt from a Tesla blog I wrote 14 years ago https://t.co/Hr8w52ithY,360599,19:08:09
"@SciGuySpace Tonnage delivered to orbit, normalized to LEO, would be interesting to see",1583,18:57:08
"@SciGuySpace If all goes well, Falcon 9 will achieve triple digits this year",4711,18:56:13
RT @SpaceX: Ms. Tree caught a fairing half – our third successful catch! https://t.co/VJU8asg4gS,0,15:10:35
RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – our 49th successful landing of an orbital class…,0,15:10:27
RT @SpaceX: Liftoff! https://t.co/rFRtJuTXFL,0,15:10:20
@FuturamaKing Ice,2296,03:56:03
@DJTopherLee 8.5 bar,3896,03:53:44
Liquid nitrogen cryogenic strength test underway ☃️ https://t.co/qRPBLInqm0,68258,03:51:38
🪑,28823,03:45:52
@universal_sci Matter is extremely fluffy!,6508,03:44:42


date,30-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

@Erdayastronaut @Blamblas @latimes @SpaceX @blueorigin Exactly. Mars propellant production will combine atmospheric… https://t.co/3RKJkZG1eF,3364,23:00:44
@thirdrowtesla This number won’t leave me alone! 🤣🤣,8929,21:47:22
Just wrote a song called “Don’t doubt yer vibe”,193981,20:41:37
@waitbutwhy @NSF @kottke we r smôl,14455,06:18:26
"RT @Erdayastronaut: Veritical video might be a sin... so consider me a sinner 😈 Is
 there such thing as too zoomed in? 😂 here’s a preview o…",0,06:10:32
🕺,115198,03:13:12


date,31-01-2020

31-1-2020,650.57
3-2-2020,780.0
null,null

"RT @thirdrowtesla: With great pleasure, we bring to you @ElonMusk's Story Part 2!!! 

Thank you Elon for sharing with us. 

We can't wait t…",0,18:22:34
https://t.co/LoVC2RYN72,47314,10:25:30
@vincent13031925 I appreciate the kind words!,3151,09:54:33
@IamKarenBoBaran @georgezachary Those old ladies are wise https://t.co/f1uxKvCfbB,924,09:44:04
"@georgezachary Meant to say other forms of “the cold”, not influenza https://t.co/38sqqL3f7i",615,09:19:19
@georgezachary There is considerable conflation of diagnosis &amp; contraction of “corona”. Actual virality is much low… https://t.co/huyh4wasP5,1662,09:12:59
@BenYu604 I become Tiesto at night,7224,07:48:00
@Kevin702 🤣🤣,748,07:46:00
Vibbbe https://t.co/21WKNOnMXZ,148091,06:40:13
I wrote the lyrics &amp; performed the vocals!!,40407,06:30:34
Be … cause … it’s … you,20464,06:29:08
https://t.co/6lz3prQ2pF,187341,06:22:50
"Don’t Doubt ur Vibe
https://t.co/5FJNJXUxW0",97114,06:20:03
😅 this song is hard,25827,05:01:20
Hope you’re enjoying the simulation https://t.co/nj9JTJc4lL,288434,04:36:54
Be … cause … it’s … true,42761,02:39:13
@poebist крипто,1475,01:04:13
Releasing soon on Emo G Records!,31555,00:20:21


